# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Отметка времени","Вы даете информированное согласие на участие в эксперименте и сбор данных в анонимном и обобщенном виде?","Проявляете ли вы интерес к политике?","Просматриваете ли вы федеральное ТВ?","Пожалуйста, укажите основные источники медиа-контента, из которых вы потребляете новости.","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Федеральным телеканалам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Telegram-каналам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Социальным сетям и блогам в интернете]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Месcенджерам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Правительство РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Президент РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Парламент РФ]","Доверяете ли вы данной статье?","Пожалуйста, укажите ваш возраст.","Пожалуйста, укажите ваш пол.","Пожалуйста, укажите уровень вашего образования.","Пожалуйста, укажите субъект РФ, в котором вы проживаете.","Пожалуйста, укажите размер населённого пункта, в котором вы проживаете.","Пожалуйста, укажите ваш доход. Это необходимо только для статистики."
"2025/10/16 3:39:15 PM GMT+8","Да","3","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","18","Женский","Среднее общее(11 классов)","Саратовская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 3:44:42 PM GMT+8","Да","5","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","4","18 лет","Мужской","Среднее общее(11 классов)","Москва","Город-миллионник(более 1 млн. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 3:47:53 PM GMT+8","Да","4","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее не доверяю","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","19","Женский","Среднее общее(11 классов)","Саратовская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 3:48:23 PM GMT+8","Да","5","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","1","18","Мужской","Среднее общее(11 классов)","Санкт-Петербург","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 3:49:43 PM GMT+8","Да","3","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Не уверен(а)","Скорее доверяю","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","17","Мужской","Среднее общее(11 классов)","Калужская область","Большой город(от 100 тыс. до 250 тыс. чел.)","Материальных затруднений не испытываю."
"2025/10/16 3:51:00 PM GMT+8","Да","5","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее не доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","5","18","Женский","Среднее общее(11 классов)","Краснодарский край","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 3:51:02 PM GMT+8","Да","1","Редко","Телевидение;Интернет — социальные сети, блоги","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Совершенно не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","5","18","Женский","Высшее(бакалавриат/специалитет)","Москва","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 3:53:35 PM GMT+8","Нет","","","","","","","","","","","","","","","","",""
"2025/10/16 3:55:27 PM GMT+8","Да","5","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Совершенно не доверяю","4","44","Мужской","Высшее(бакалавриат/специалитет)","Новосибирская область","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 3:55:58 PM GMT+8","Да","3","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Не уверен(а)","Скорее доверяю","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","2","17","Женский","Среднее общее(11 классов)","Саратовская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 4:00:04 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Не уверен(а)","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","1","18 лет ","Мужской","Неоконченное высшее","Архангельская область","Крупный город(от 250 тыс. до 1 млн. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 4:00:41 PM GMT+8","Да","5","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Полностью доверяю","Не уверен(а)","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","3","17","Женский","Среднее общее(11 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 4:24:21 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","2","18","Мужской","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 4:39:36 PM GMT+8","Да","4","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Совершенно не доверяю","Скорее не доверяю","Скорее не доверяю","Совершенно не доверяю","Скорее не доверяю","5","18","Женский","Среднее общее(11 классов)","Московская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 4:41:15 PM GMT+8","Да","5","Часто","Телевидение;Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Полностью доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","7","18","Женский","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 5:03:00 PM GMT+8","Да","4","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее не доверяю","Совершенно не доверяю","Скорее не доверяю","5","16","Женский","Среднее основное(9 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 5:44:44 PM GMT+8","Да","5","Никогда","Интернет — социальные сети, блоги","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","7","17","Мужской","Неоконченное высшее","Ростовская область","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 5:47:25 PM GMT+8","Да","5","Иногда","Телевидение;Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее доверяю","Скорее доверяю","Не уверен(а)","Не уверен(а)","Полностью доверяю","Полностью доверяю","Полностью доверяю","7","17","Женский","Высшее(бакалавриат/специалитет)","Ростовская область","Город-миллионник(более 1 млн. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 5:50:09 PM GMT+8","Да","3","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Скорее доверяю","Скорее доверяю","Не уверен(а)","Полностью доверяю","Полностью доверяю","Полностью доверяю","5","18","Мужской","Высшее(бакалавриат/специалитет)","Ростовская область","Город-миллионник(более 1 млн. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 5:55:16 PM GMT+8","Да","2","Редко","Интернет — социальные сети, блоги","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","4","18","Женский","Высшее(бакалавриат/специалитет)","Краснодарский край","Сельский населенный пункт(Деревня, поселок, село, станица и т.д.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
