Отметка времени,Вы даете информированное согласие на участие в эксперименте и сбор данных в анонимном и обобщенном виде?,Проявляете ли вы интерес к политике?,Просматриваете ли вы федеральное ТВ?,"Пожалуйста, укажите основные источники медиа-контента, из которых вы потребляете новости.","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Федеральным телеканалам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Telegram-каналам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Социальным сетям и блогам в интернете]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Новостные сайты]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Правительство РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Президент РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Парламент РФ]",Доверяете ли вы данной статье?,"Пожалуйста, укажите ваш возраст.","Пожалуйста, укажите ваш пол.","Пожалуйста, укажите уровень вашего образования.","Пожалуйста, укажите субъект РФ, в котором вы проживаете.","Пожалуйста, укажите размер населённого пункта, в котором вы проживаете.","Пожалуйста, укажите ваш доход. Это необходимо только для статистики.",Treatment
10/16/2025 15:39:06,Да,5,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,6,18,Мужской,Среднее общее(11 классов),Новосибирская область,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/16/2025 15:47:25,Да,5,Редко,"Интернет — социальные сети, блоги",Совершенно не доверяю,Не уверен(а),Скорее доверяю,Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,7,18,Женский,Среднее профессиональное,Республика Татарстан,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 15:48:00,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,7,18,Не скажу,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 15:48:10,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Скорее доверяю,Скорее не доверяю,Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,5,18,Женский,Неоконченное высшее,Новосибирская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 15:53:59,Да,4,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Не уверен(а),Скорее доверяю,Не уверен(а),Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,4,18,Женский,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 16:05:53,Да,2,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Скорее доверяю,Не уверен(а),Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),5,17,Женский,Среднее основное(9 классов),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 16:07:18,Да,3,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Не уверен(а),Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),7,19,Женский,Высшее(бакалавриат/специалитет),Омская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 16:08:08,Да,2,Часто,"Телевидение, Мессенджеры",Скорее доверяю,Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,4,17,Женский,Среднее общее(11 классов),Забайкальский край,Средний город(от 50 тыс. до 100 тыс. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 16:12:44,Да,2,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Не уверен(а),7,18,Женский,Неоконченное высшее,Республика Татарстан,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 16:17:38,Да,4,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее не доверяю,Не уверен(а),Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее не доверяю,3,17,Мужской,Среднее основное(9 классов),Иркутская область,Малый город(до 50 тыс. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
